package,breaking_version,ecosystem,label_breaking,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,R0,propagation_class,r_squared,first_issue_hours
bluebird,3.0.0,npm,1,0.0,0.0648924945883053,0.0,0.0,0.0162231236470763,0.0245325160616947,SAFE,,,,
jsonwebtoken,1.0.0,npm,1,0.0,0.0620872291911836,0.0,0.0,0.0155218072977959,0.0234719894345582,SAFE,,,,
jsonwebtoken,2.0.0,npm,1,0.0,0.0620872291911836,0.0,0.0,0.0155218072977959,0.0234719894345582,SAFE,,,,
jsonwebtoken,3.0.0,npm,1,0.0,0.0620872291911836,0.0,0.0,0.0155218072977959,0.0234719894345582,SAFE,,,,
formidable,2.0.0,npm,1,1.0,0.0300710482213977,0.0,0.0,0.2575177620553494,0.3552829445213625,WAIT,,,,
gauge,3.0.0,npm,1,0.0,0.0295426891153592,0.0,0.0,0.0073856722788398,0.0111685719562215,SAFE,,,,
gauge,4.0.0,npm,1,0.0,0.0295426891153592,0.0,0.0,0.0073856722788398,0.0111685719562215,SAFE,,,,
gauge,5.0.0,npm,1,0.0,0.0295426891153592,0.0,0.0,0.0073856722788398,0.0111685719562215,SAFE,,,,
npmlog,1.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
npmlog,2.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
npmlog,4.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
npmlog,5.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
npmlog,6.0.0,npm,1,0.0,0.0293153929295058,0.0,0.0,0.0073288482323764,0.0110826429537138,SAFE,,,,
are-we-there-yet,2.0.0,npm,1,0.0,0.0292805346679711,0.0,0.0,0.0073201336669927,0.0110694648371009,SAFE,,,,
are-we-there-yet,3.0.0,npm,1,0.0,0.0292805346679711,0.0,0.0,0.0073201336669927,0.0110694648371009,SAFE,,,,
are-we-there-yet,4.0.0,npm,1,0.0,0.0292805346679711,0.0,0.0,0.0073201336669927,0.0110694648371009,SAFE,,,,
joi,2.0.0,npm,1,0.7333,0.0290376904030759,0.0,0.0,0.1905844226007689,0.2631702539945129,SAFE,,,,
joi,4.0.0,npm,1,0.7895,0.0290376904030759,0.0,0.0,0.2046344226007689,0.2824982560403566,SAFE,,,,
joi,5.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
joi,7.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
joi,8.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
joi,10.0.0,npm,1,0.0,0.0290376904030759,0.0,0.0,0.0072594226007689,0.0109776579052388,SAFE,,,,
superagent,2.0.0,npm,1,0.0,0.0280192626934177,0.0,0.0,0.0070048156733544,0.0105926427458837,SAFE,,,,
superagent,4.0.0,npm,1,0.0,0.0280192626934177,0.0,0.0,0.0070048156733544,0.0105926427458837,SAFE,,,,
