package,breaking_version,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,label_breaking,propagation_class,R0,ci_check_failure_rate,ci_check_prs_sampled,ci_check_prs_failed,pr_rejection_rate,bot_prs_total,bot_prs_rejected,ci_failure_issues,is_deprecated,days_to_patch,quick_patch
react-testing-library,2.0.0,0.8235,5.8253450919178054e-05,0.0,0.0,0.2058895633627298,0.2832357180931917,SAFE,1,,,,,,,,,,,,
debug,4.0.0,0.0,0.8508974920201096,0.0,0.0,0.2127243730050274,0.3216805968436453,SAFE,1,,,,,,,,,,,,
minimatch,1.0.0,0.0,0.8484756299205892,0.0,0.0,0.2121189074801473,0.32076501529245616,SAFE,1,,,,,,,,,,,,
minimatch,2.0.0,1.0,0.8484756299205892,0.0,0.0,0.4621189074801473,0.6646796424427004,WAIT,1,,,,,,,,,,,,
minimatch,3.0.0,0.0,0.8484756299205892,0.0,0.0,0.2121189074801473,0.32076501529245616,SAFE,1,,,,,,,,,,,,
glob,3.0.0,0.0,0.4925150898901939,0.0,0.0,0.12312877247254847,0.18619463514253123,SAFE,1,,,,,,,,,,,,
glob,7.0.0,0.0,0.4925150898901939,0.0,0.0,0.12312877247254847,0.18619463514253123,SAFE,1,,,,,,,,,,,,
glob,11.0.0,0.0,0.4925150898901939,0.0,0.0,0.12312877247254847,0.18619463514253123,SAFE,1,,,,,,,,,,,,
uuid,2.0.0,0.0,0.36371260541544703,0.0,0.0,0.09092815135386176,0.1375010375360622,SAFE,1,,,,,,,,,,,,
uuid,10.0.0,0.0,0.36371260541544703,0.0,0.0,0.09092815135386176,0.1375010375360622,SAFE,1,,,,,,,,,,,,
graceful-fs,2.0.0,0.0,0.22419374212018178,0.0,0.0,0.056048435530045446,0.08475612802972743,SAFE,1,,,,,,,,,,,,
rimraf,2.0.0,0.0,0.1939098963557897,0.0,0.0,0.048477474088947425,0.07330736284758688,SAFE,1,,,,,,,,,,,,
rimraf,3.0.0,0.0,0.1939098963557897,0.0,0.0,0.048477474088947425,0.07330736284758688,SAFE,1,,,,,,,,,,,,
react-dom,16.0.0,1.0,0.17581391152646145,0.0,0.0,0.29395347788161535,0.4103808284537396,WAIT,1,,,,,,,,,,,,
ajv-formats,1.0.0,1.0,0.12622920153884645,0.0,0.0,0.2815573003847116,0.3916353987718783,WAIT,1,,,,,,,,,,,,
eslint-plugin-react-hooks,2.0.0,0.0,0.11434019469741331,0.0,0.0,0.02858504867435333,0.04322614935221041,SAFE,1,,,,,,,,,,,,
eslint-plugin-react-hooks,6.0.0,0.0,0.11434019469741331,0.0,0.0,0.02858504867435333,0.04322614935221041,SAFE,1,,,,,,,,,,,,
tar,1.0.0,0.0,0.11281559079137288,0.0,0.0,0.02820389769784322,0.042649774995669645,SAFE,1,,,,,,,,,,,,
tar,3.0.0,0.7692,0.11281559079137288,0.0,0.0,0.22050389769784323,0.30718890619963746,SAFE,1,,,,,,,,,,,,
tar,5.0.0,0.0,0.11281559079137288,0.0,0.0,0.02820389769784322,0.042649774995669645,SAFE,1,,,,,,,,,,,,
eslint-config-prettier,10.0.0,0.0,0.07886156884529619,0.0,0.0,0.019715392211324047,0.029813504884066064,SAFE,1,,,,,,,,,,,,
bluebird,3.0.0,0.0,0.06489249458830536,0.0,0.0,0.01622312364707634,0.024532516061694716,SAFE,1,,,,,,,,,,,,
jsonwebtoken,1.0.0,0.0,0.06208722919118367,0.0,0.0,0.015521807297795917,0.02347198943455829,SAFE,1,,,,,,,,,,,,
jsonwebtoken,2.0.0,0.0,0.06208722919118367,0.0,0.0,0.015521807297795917,0.02347198943455829,SAFE,1,,,,,,,,,,,,
